smiles,value,source,name,units,params
N#CCl,12.9,GESTIS,Boiling point,°C,
CC(C)CCl,69,GESTIS,Boiling point,°C,
O=C(NNc1ccccc1)c1ccccc1,314,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1cc(N(C)C)nc(Cl)n1,143.5,GESTIS,Boiling point,°C,
CCC(=O)OCC(C)C,137,GESTIS,Boiling point,°C,
CC(C)CCI,145,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C)CCS,117,GESTIS,Boiling point,°C,
CC(C)=CC(=O)O,196.5,GESTIS,Boiling point,°C,
C=CC(C)C,20,GESTIS,Boiling point,°C,
C=C(C)CC,31,GESTIS,Boiling point,°C,
C=C(C=O)C(C)C,109,,Boiling point,°C,
Oc1ccc2ccccc2c1Br,130,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(=O)C(=O)c1ccccc1,222,Handbook of chemistry and physics 2016,Boiling point,°C,
C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,281.5,GESTIS,Boiling point,°C,
CCCCC(C)CC,120,GESTIS,Boiling point,°C,
CC1CCC(C)CC1,121.5,GESTIS,Boiling point,°C,
CC1CC=CCC1,102.7,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCCCCCCC=CCCCCC(=O)O,237.5,AAT Bioquest,Boiling point,°C,
ClSC(Cl)(Cl)Cl,148,GESTIS,Boiling point,°C,
CCC(O)(CC)CC,142,Handbook of chemistry and physics 2016,Boiling point,°C,
CCC(C(=O)O)C(=O)O,180,AAT Bioquest,Boiling point,°C,
O=[N+]([O-])c1cccc([N+](=O)[O-])c1Cl,315,GESTIS,Boiling point,°C,
O=C(O)C(=O)c1ccccc1,163,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1ccc(OC(=O)c2ccccc2)cc1,316,Handbook of chemistry and physics 2016,Boiling point,°C,
COc1ccc(N)cc1N,221,AAT Bioquest,Boiling point,°C,
O=C(Br)c1ccccc1,220,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(=O)N1CCCCC1,226.5,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCC(CC)CC,119,GESTIS,Boiling point,°C,
c1ccc(Cc2cccnc2)cc1,287.5,,Boiling point,°C,
O=[N+]([O-])OCC(O)CO,157.5,AAT Bioquest,Boiling point,°C,
CC(C)(C)CCO,143,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCC(N)=O,225,Handbook of chemistry and physics 2016,Boiling point,°C,
CC#CCC,56,Handbook of chemistry and physics 2016,Boiling point,°C,
COCCCl,92,GESTIS,Boiling point,°C,
CC(C)CCCC(=O)O,212.5,,Boiling point,°C,
CCCCCCCCCCCCCCC,255.2,ECHA,Boiling point,°C,
CCCCCCCCCCCCCCCO,318,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1ccc[nH]1,148,Handbook of chemistry and physics 2016,Boiling point,°C,
O=CCCC=O,58,Wiki,Boiling point,°C,
Cc1ccccc1-c1ccccc1,255.5,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCCCCCCBr,258.8,Handbook of chemistry and physics 2016,Boiling point,°C,
O=c1occo1,168,ECHA,Boiling point,°C,
Cc1cc2ccccc2c2ccccc12,354.5,,Boiling point,°C,
COC1CCCCC1,132,Handbook of chemistry and physics 2016,Boiling point,°C,
CCc1cc(C)cc(C)c1,184,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCCCC(C)CC,212,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C)(C)c1ccc(C(C)(C)C)cc1,237.3,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C)(C)CCC(C)(C)C,137,Handbook of chemistry and physics 2016,Boiling point,°C,
COc1ccc(C(C)=O)cc1OC,287,Handbook of chemistry and physics 2016,Boiling point,°C,
c1ccc([Se]c2ccccc2)cc1,301.5,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(=O)OCC=C(C)C,152,ECHA,Boiling point,°C,
C=C(Cl)C(=C)Cl,98,GESTIS,Boiling point,°C,
Cc1cccc(O)c1Cl,196,,Boiling point,°C,
Fc1ccc(N=C=S)cc1,228,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1cc(Cl)cc(Cl)c1O,228.5,,Boiling point,°C,
CCc1ccc(Br)cc1,204,Handbook of chemistry and physics 2016,Boiling point,°C,
Ic1ccc(-c2ccccc2)cc1,320,Handbook of chemistry and physics 2016,Boiling point,°C,
CN1CCc2ccccc2C1,232,,Boiling point,°C,
CSCSC,150,ECHA,Boiling point,°C,
CCOC(=O)C(C)(C)C(=O)OCC,196.5,,Boiling point,°C,
Oc1ccc(N=Nc2ccccc2)cc1,225,AAT Bioquest,Boiling point,°C,
CC(F)(Cl)Cl,32,GESTIS,Boiling point,°C,
C=Cc1scnc1C,66,AAT Bioquest,Boiling point,°C,
Cc1csc(C)c1C,172,,Boiling point,°C,
CCCCCCCCCCCCCCC1CCCCC1,358,Handbook of chemistry and physics 2016,Boiling point,°C,
CCC(Br)CC,118,Handbook of chemistry and physics 2016,Boiling point,°C,
CCO[Si](C)(C)C,75.8,ECHA,Boiling point,°C,
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,368,GESTIS,Boiling point,°C,
C(COCCOCC1CO1)OCCOCC1CO1,196,AAT Bioquest,Boiling point,°C,
CCN(CC)c1ccc(Br)cc1,270,Handbook of chemistry and physics 2016,Boiling point,°C,
Clc1ccc2cc(Cl)ccc2c1,285,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCC(C)CCC,142,Handbook of chemistry and physics 2016,Boiling point,°C,
C=CC(=O)OCC(C)(C)COC(=O)C=C,96,GESTIS,Boiling point,°C,
